"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0483,2.688,0.001,2.664,0.004
0.0484,2.688,0.001,2.660,0.000
0.0485,2.691,0.004,2.666,0.006
0.0486,2.677,-0.010,2.655,-0.005
0.0487,2.682,-0.005,2.657,-0.004
0.0488,2.684,-0.002,2.660,0.000
0.0489,2.684,-0.002,2.658,-0.002
0.0490,2.692,0.005,2.665,0.005
0.0491,2.686,-0.001,2.664,0.004
0.0492,2.684,-0.002,2.657,-0.004
0.0493,2.691,0.004,2.668,0.007
0.0494,2.686,-0.001,2.661,0.001
0.0495,2.689,0.003,2.658,-0.002
0.0496,2.695,0.009,2.668,0.007
0.0497,2.692,0.005,2.659,-0.001
0.0498,2.694,0.007,2.660,0.000
0.0499,2.692,0.005,2.665,0.005
0.0500,2.688,0.001,2.659,-0.001
0.0501,2.697,0.010,2.665,0.005
0.0502,2.689,0.003,2.657,-0.004
0.0503,2.682,-0.005,2.648,-0.012
0.0504,2.688,0.001,2.654,-0.006
0.0505,2.677,-0.010,2.648,-0.012
0.0506,2.677,-0.010,2.647,-0.013
0.0507,2.678,-0.008,2.652,-0.008
0.0508,2.675,-0.012,2.652,-0.008
0.0509,2.682,-0.005,2.658,-0.002
0.0510,2.684,-0.002,2.658,-0.002
0.0511,2.680,-0.007,2.652,-0.008
0.0512,2.684,-0.002,2.659,-0.001
0.0513,2.682,-0.005,2.664,0.004
0.0514,2.684,-0.002,2.657,-0.004
0.0515,2.686,-0.001,2.657,-0.004
0.0516,2.681,-0.006,2.658,-0.002
0.0517,2.687,0.000,2.660,0.000
0.0518,2.691,0.004,2.666,0.006
0.0519,2.687,0.000,2.657,-0.004
0.0520,2.695,0.009,2.670,0.010
0.0521,2.698,0.011,2.676,0.016
0.0522,2.687,0.000,2.665,0.005
0.0523,2.692,0.005,2.671,0.011
0.0524,2.683,-0.004,2.668,0.007
0.0525,2.684,-0.002,2.657,-0.004
0.0526,2.687,0.000,2.658,-0.002
0.0527,2.680,-0.007,2.657,-0.004
0.0528,2.683,-0.004,2.657,-0.004
0.0529,2.683,-0.004,2.660,0.000
0.0530,2.682,-0.005,2.653,-0.007
0.0531,2.683,-0.004,2.653,-0.007
0.0532,2.681,-0.006,2.653,-0.007
0.0533,2.680,-0.007,2.651,-0.010
0.0534,2.692,0.005,2.661,0.001
0.0535,2.691,0.004,2.664,0.004
0.0536,2.692,0.005,2.659,-0.001
0.0537,2.693,0.006,2.669,0.009
0.0538,2.682,-0.005,2.661,0.001
0.0539,2.692,0.005,2.665,0.005
0.0540,2.693,0.006,2.670,0.010
0.0541,2.688,0.001,2.655,-0.005
0.0542,2.687,0.000,2.660,0.000
0.0543,2.687,0.000,2.665,0.005
0.0544,2.686,-0.001,2.655,-0.005
0.0545,2.687,0.000,2.658,-0.002
0.0546,2.684,-0.002,2.658,-0.002
0.0547,2.687,0.000,2.657,-0.004
0.0548,2.689,0.003,2.658,-0.002
0.0549,2.683,-0.004,2.651,-0.010
0.0550,2.684,-0.002,2.651,-0.010
0.0551,2.691,0.004,2.659,-0.001
0.0552,2.681,-0.006,2.649,-0.011
0.0553,2.687,0.000,2.657,-0.004
0.0554,2.681,-0.006,2.654,-0.006
0.0555,2.672,-0.014,2.646,-0.015
0.0556,2.682,-0.005,2.657,-0.004
0.0557,2.680,-0.007,2.653,-0.007
0.0558,2.680,-0.007,2.651,-0.010
0.0559,2.688,0.001,2.661,0.001
0.0560,2.686,-0.001,2.658,-0.002
0.0561,2.692,0.005,2.664,0.004
0.0562,2.692,0.005,2.668,0.007
0.0563,2.683,-0.004,2.659,-0.001
0.0564,2.687,0.000,2.663,0.002
0.0565,2.684,-0.002,2.665,0.005
0.0566,2.678,-0.008,2.654,-0.006
0.0567,2.688,0.001,2.668,0.007
0.0568,2.683,-0.004,2.661,0.001
0.0569,2.687,0.000,2.661,0.001
0.0570,2.691,0.004,2.670,0.010
0.0571,2.683,-0.004,2.663,0.002
0.0572,2.694,0.007,2.669,0.009
0.0573,2.693,0.006,2.666,0.006
0.0574,2.692,0.005,2.660,0.000
0.0575,2.697,0.010,2.668,0.007
0.0576,2.692,0.005,2.668,0.007
0.0577,2.689,0.003,2.660,0.000
0.0578,2.692,0.005,2.664,0.004
0.0579,2.688,0.001,2.660,0.000
0.0580,2.691,0.004,2.657,-0.004
0.0581,2.695,0.009,2.665,0.005
0.0582,2.684,-0.002,2.649,-0.011
0.0583,2.687,0.000,2.653,-0.007
0.0584,2.687,0.000,2.657,-0.004
0.0585,2.678,-0.008,2.647,-0.013
0.0586,2.681,-0.006,2.651,-0.010
0.0587,2.680,-0.007,2.653,-0.007
0.0588,2.681,-0.006,2.653,-0.007
0.0589,2.689,0.003,2.664,0.004
0.0590,2.678,-0.008,2.654,-0.006
0.0591,2.686,-0.001,2.658,-0.002
0.0592,2.691,0.004,2.665,0.005
0.0593,2.684,-0.002,2.660,0.000
0.0594,2.688,0.001,2.664,0.004
0.0595,2.682,-0.005,2.660,0.000
0.0596,2.681,-0.006,2.657,-0.004
0.0597,2.689,0.003,2.668,0.007
0.0598,2.687,0.000,2.668,0.007
0.0599,2.687,0.000,2.658,-0.002
0.0600,2.689,0.003,2.664,0.004
0.0601,2.683,-0.004,2.659,-0.001
0.0602,2.687,0.000,2.654,-0.006
0.0603,2.687,0.000,2.654,-0.006
0.0604,2.677,-0.010,2.648,-0.012
0.0605,2.687,0.000,2.657,-0.004
0.0606,2.686,-0.001,2.658,-0.002
0.0607,2.684,-0.002,2.653,-0.007
0.0608,2.684,-0.002,2.654,-0.006
0.0609,2.680,-0.007,2.655,-0.005
0.0610,2.682,-0.005,2.654,-0.006
0.0611,2.686,-0.001,2.664,0.004
0.0612,2.680,-0.007,2.658,-0.002
0.0613,2.687,0.000,2.657,-0.004
0.0614,2.692,0.005,2.668,0.007
0.0615,2.683,-0.004,2.657,-0.004
0.0616,2.684,-0.002,2.658,-0.002
0.0617,2.684,-0.002,2.665,0.005
0.0618,2.678,-0.008,2.655,-0.005
0.0619,2.687,0.000,2.666,0.006
0.0620,2.684,-0.002,2.661,0.001
0.0621,2.692,0.005,2.666,0.006
0.0622,2.692,0.005,2.671,0.011
0.0623,2.684,-0.002,2.660,0.000
0.0624,2.691,0.004,2.660,0.000
0.0625,2.691,0.004,2.664,0.004
0.0626,2.684,-0.002,2.655,-0.005
0.0627,2.694,0.007,2.658,-0.002
0.0628,2.692,0.005,2.665,0.005
0.0629,2.692,0.005,2.664,0.004
