"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0586,2.687,0.000,2.665,0.005
0.0587,2.681,-0.006,2.654,-0.006
0.0588,2.684,-0.002,2.654,-0.006
0.0589,2.687,0.000,2.660,0.000
0.0590,2.686,-0.001,2.653,-0.007
0.0591,2.691,0.004,2.658,-0.002
0.0592,2.687,0.000,2.659,-0.001
0.0593,2.687,0.000,2.658,-0.002
0.0594,2.693,0.006,2.666,0.006
0.0595,2.686,-0.001,2.659,-0.001
0.0596,2.692,0.005,2.661,0.001
0.0597,2.695,0.009,2.666,0.006
0.0598,2.689,0.003,2.658,-0.002
0.0599,2.694,0.007,2.666,0.006
0.0600,2.692,0.005,2.671,0.011
0.0601,2.691,0.004,2.668,0.007
0.0602,2.688,0.001,2.669,0.009
0.0603,2.684,-0.002,2.671,0.011
0.0604,2.683,-0.004,2.665,0.005
0.0605,2.688,0.001,2.670,0.010
0.0606,2.681,-0.006,2.664,0.004
0.0607,2.687,0.000,2.660,0.000
0.0608,2.689,0.003,2.665,0.005
0.0609,2.683,-0.004,2.653,-0.007
0.0610,2.692,0.005,2.658,-0.002
0.0611,2.691,0.004,2.659,-0.001
0.0612,2.692,0.005,2.658,-0.002
0.0613,2.695,0.009,2.660,0.000
0.0614,2.687,0.000,2.654,-0.006
0.0615,2.689,0.003,2.654,-0.006
0.0616,2.692,0.005,2.659,-0.001
0.0617,2.682,-0.005,2.653,-0.007
0.0618,2.681,-0.006,2.651,-0.010
0.0619,2.684,-0.002,2.658,-0.002
0.0620,2.684,-0.002,2.654,-0.006
0.0621,2.693,0.006,2.664,0.004
0.0622,2.687,0.000,2.660,0.000
0.0623,2.682,-0.005,2.653,-0.007
0.0624,2.687,0.000,2.660,0.000
0.0625,2.688,0.001,2.664,0.004
0.0626,2.687,0.000,2.660,0.000
0.0627,2.686,-0.001,2.661,0.001
0.0628,2.678,-0.008,2.654,-0.006
