"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0349,2.683,-0.005,2.658,-0.004
0.0350,2.688,0.000,2.657,-0.005
0.0351,2.688,0.000,2.662,0.000
0.0352,2.682,-0.006,2.659,-0.002
0.0353,2.692,0.003,2.663,0.001
0.0354,2.694,0.006,2.663,0.001
0.0355,2.685,-0.004,2.656,-0.006
0.0356,2.686,-0.003,2.658,-0.004
0.0357,2.686,-0.003,2.659,-0.002
0.0358,2.683,-0.005,2.652,-0.010
0.0359,2.687,-0.001,2.659,-0.002
0.0360,2.691,0.002,2.667,0.005
0.0361,2.689,0.001,2.659,-0.002
0.0362,2.688,0.000,2.659,-0.002
0.0363,2.683,-0.005,2.661,-0.001
0.0364,2.686,-0.003,2.657,-0.005
0.0365,2.689,0.001,2.657,-0.005
0.0366,2.683,-0.005,2.661,-0.001
0.0367,2.688,0.000,2.657,-0.005
0.0368,2.687,-0.001,2.659,-0.002
0.0369,2.683,-0.005,2.657,-0.005
0.0370,2.687,-0.001,2.657,-0.005
0.0371,2.689,0.001,2.664,0.003
0.0372,2.677,-0.011,2.652,-0.010
0.0373,2.681,-0.008,2.652,-0.010
0.0374,2.686,-0.003,2.662,0.000
0.0375,2.681,-0.008,2.654,-0.007
0.0376,2.686,-0.003,2.657,-0.005
0.0377,2.687,-0.001,2.662,0.000
0.0378,2.685,-0.004,2.656,-0.006
0.0379,2.691,0.002,2.663,0.001
0.0380,2.692,0.003,2.670,0.009
0.0381,2.695,0.007,2.665,0.004
0.0382,2.691,0.002,2.664,0.003
0.0383,2.688,0.000,2.664,0.003
0.0384,2.689,0.001,2.659,-0.002
0.0385,2.694,0.006,2.667,0.005
0.0386,2.683,-0.005,2.661,-0.001
0.0387,2.689,0.001,2.659,-0.002
0.0388,2.693,0.005,2.665,0.004
0.0389,2.687,-0.001,2.661,-0.001
0.0390,2.688,0.000,2.657,-0.005
0.0391,2.689,0.001,2.665,0.004
0.0392,2.683,-0.005,2.659,-0.002
0.0393,2.686,-0.003,2.658,-0.004
0.0394,2.685,-0.004,2.659,-0.002
0.0395,2.681,-0.008,2.656,-0.006
0.0396,2.691,0.002,2.665,0.004
0.0397,2.695,0.007,2.670,0.009
0.0398,2.685,-0.004,2.652,-0.010
0.0399,2.688,0.000,2.658,-0.004
0.0400,2.687,-0.001,2.661,-0.001
0.0401,2.687,-0.001,2.657,-0.005
0.0402,2.689,0.001,2.658,-0.004
0.0403,2.682,-0.006,2.657,-0.005
0.0404,2.683,-0.005,2.654,-0.007
0.0405,2.688,0.000,2.663,0.001
0.0406,2.683,-0.005,2.658,-0.004
0.0407,2.686,-0.003,2.657,-0.005
0.0408,2.691,0.002,2.664,0.003
0.0409,2.682,-0.006,2.654,-0.007
0.0410,2.687,-0.001,2.658,-0.004
0.0411,2.691,0.002,2.663,0.001
0.0412,2.683,-0.005,2.657,-0.005
0.0413,2.687,-0.001,2.657,-0.005
0.0414,2.692,0.003,2.664,0.003
0.0415,2.683,-0.005,2.652,-0.010
0.0416,2.686,-0.003,2.657,-0.005
0.0417,2.687,-0.001,2.665,0.004
0.0418,2.683,-0.005,2.656,-0.006
0.0419,2.687,-0.001,2.659,-0.002
0.0420,2.692,0.003,2.669,0.007
0.0421,2.687,-0.001,2.662,0.000
0.0422,2.691,0.002,2.664,0.003
0.0423,2.686,-0.003,2.663,0.001
0.0424,2.689,0.001,2.659,-0.002
0.0425,2.689,0.001,2.658,-0.004
0.0426,2.682,-0.006,2.657,-0.005
0.0427,2.686,-0.003,2.657,-0.005
0.0428,2.688,0.000,2.665,0.004
0.0429,2.685,-0.004,2.662,0.000
0.0430,2.686,-0.003,2.657,-0.005
0.0431,2.691,0.002,2.664,0.003
0.0432,2.683,-0.005,2.659,-0.002
